factor,z_score
Size,-0.5295049867904903
Mid Cap,0.09908581996832046
Beta,-1.0446158331904165
Momentum,-0.4007598255390762
Short-Term Reversal,-1.3098425862417837
Residual Volatility,0.33517770286271875
Value,-0.6128767003099513
Earnings Yield,-0.5017033123188837
Profitability,0.4115553206229156
Leverage,0.3995891046215924
Dividend Yield,-0.3086001395410417
Liquidity,-0.7668182311182873
